service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
62101_merged_14516834,20250106,20250420,0,0,0,0,0,0,0
4902,20250106,20250420,0,0,0,0,0,0,0
3_merged_14516809,20240902,20250105,0,0,0,0,0,0,1
152301_merged_14516844,20250106,20250420,0,0,0,0,0,0,0
101_merged_14516847,20250106,20250420,0,0,0,0,0,0,0
75301_merged_14516841,20250106,20250420,0,0,0,0,0,0,0
1201_merged_14516800,20240902,20250105,0,0,0,0,0,0,0
253403_merged_14516835,20250106,20250420,0,0,0,0,0,0,0
401_merged_14516812,20240902,20250105,0,0,0,0,0,0,0
801_merged_14516824,20240902,20250105,0,0,0,0,0,0,0
1101_merged_14516851,20250106,20250420,0,0,0,0,0,0,0
1_merged_14516808,20240902,20250105,1,1,1,1,1,0,0
62201_merged_14516831,20250106,20250420,0,0,0,0,0,0,0
201_merged_14516826,20250106,20250420,0,0,0,0,0,0,0
259702_merged_14516805,20240902,20250105,0,0,0,0,0,0,0
259702_merged_14516833,20250106,20250420,0,0,0,0,0,0,0
701_merged_14516801,20240902,20250105,0,0,0,0,0,0,0
152201_merged_14516815,20240902,20250105,0,0,0,0,0,0,0
701_merged_14516829,20250106,20250420,0,0,0,0,0,0,0
155601_merged_14516825,20240902,20250105,0,0,0,0,0,0,0
801_merged_14516852,20250106,20250420,0,0,0,0,0,0,0
4901,20250106,20250420,0,0,0,0,0,0,0
4903,20250106,20250420,0,0,0,0,0,0,0
-999_merged_14516811,20240902,20250105,1,1,1,1,1,1,1
162601_merged_14516802,20240902,20250105,0,0,0,0,0,0,0
1201_merged_14516828,20250106,20250420,0,0,0,0,0,0,0
1901_merged_14516832,20250106,20250420,0,0,0,0,0,0,0
2001_merged_14516822,20240902,20250105,0,0,0,0,0,0,0
75401_merged_14516842,20250106,20250420,0,0,0,0,0,0,0
43501,20240902,20250105,0,0,0,0,0,0,0
32603_merged_14516827,20250106,20250420,0,0,0,0,0,0,0
1803_merged_14516848,20250106,20250420,0,0,0,0,0,0,0
155601_merged_14516853,20250106,20250420,0,0,0,0,0,0,0
401_merged_14516840,20250106,20250420,0,0,0,0,0,0,0
259703_merged_14516818,20240902,20250105,0,0,0,0,0,0,0
169801_merged_14516821,20240902,20250105,0,0,0,0,0,0,0
259802,20240902,20250105,0,0,0,0,0,0,0
253403_merged_14516807,20240902,20250105,0,0,0,0,0,0,0
62101_merged_14516806,20240902,20250105,0,0,0,0,0,0,0
35301,20240902,20250105,0,0,0,0,0,0,0
152301_merged_14516816,20240902,20250105,0,0,0,0,0,0,0
259803,20240902,20250105,0,0,0,0,0,0,0
259801,20240902,20250105,0,0,0,0,0,0,0
92402,20240902,20250105,0,0,0,0,0,0,0
2_merged_14516838,20250106,20250420,0,0,0,0,0,1,0
2_merged_14516810,20240902,20250105,0,0,0,0,0,1,0
75301_merged_14516813,20240902,20250105,0,0,0,0,0,0,0
118403,20240902,20250105,0,0,0,0,0,0,0
-999_merged_14516839,20250106,20250420,1,1,1,1,1,1,1
169801_merged_14516849,20250106,20250420,0,0,0,0,0,0,0
1_merged_14516836,20250106,20250420,1,1,1,1,1,0,0
1803_merged_14516820,20240902,20250105,0,0,0,0,0,0,0
3_merged_14516837,20250106,20250420,0,0,0,0,0,0,1
259703_merged_14516846,20250106,20250420,0,0,0,0,0,0,0
162601_merged_14516830,20250106,20250420,0,0,0,0,0,0,0
75401_merged_14516814,20240902,20250105,0,0,0,0,0,0,0
62201_merged_14516803,20240902,20250105,0,0,0,0,0,0,0
259701_merged_14516845,20250106,20250420,0,0,0,0,0,0,0
92501,20240902,20250105,0,0,0,0,0,0,0
152201_merged_14516843,20250106,20250420,0,0,0,0,0,0,0
259701_merged_14516817,20240902,20250105,0,0,0,0,0,0,0
201_merged_14516798,20240902,20250105,0,0,0,0,0,0,0
1901_merged_14516804,20240902,20250105,0,0,0,0,0,0,0
162503,20250106,20250420,0,0,0,0,0,0,0
32603_merged_14516799,20240902,20250105,0,0,0,0,0,0,0
101_merged_14516819,20240902,20250105,0,0,0,0,0,0,0
2001_merged_14516850,20250106,20250420,0,0,0,0,0,0,0
1101_merged_14516823,20240902,20250105,0,0,0,0,0,0,0
