shape_id,trip_headsign,direction_id
298080,Millennium Line To VCC-Clark,1
292878,406 Railway Ave to Brighouse Station,0
296991,7 Nanaimo Station,0
297255,99 Commercial-Broadway Station,0
298111,Expo Line To Waterfront,1
297456,191 Princeton,0
297443,183 Moody Centre Station,1
293136,Millennium Line To Lafarge Lake-Douglas,0
292163,16 29th Ave Station,0
292939,501 Surrey Central Station,0
292941,1844 501 Surrey Central Station via 202A St,0
292940,501 Surrey Central Station,0
297449,186 Coquitlam Central Station,1
292308,50 Waterfront Station,0
292774,335 Newton Exchange,0
292773,335 Guildford,0
297124,17 Oak,1
292722,320 Fleetwood,0
297233,49 UBC,1
293140,Millennium Line To VCC-Clark,1
293135,Millennium Line To Lougheed Town Centre,0
293169,Expo Line To Waterfront,1
293177,Expo Line To New Westminster,1
293168,Expo Line To Waterfront,1
297072,14 UBC,1
292053,6 Davie,1
297933,601 Bridgeport Station,0
297932,601 Bridgeport Station,0
292718,319 Scott Rd Station,0
298165,R4 41ST Avenue/To Joyce Station,0
297355,143 Burquitlam Station,0
297827,407 Gilbert,1
297826,407 Gilbert,1
297822,407 Gilbert,1
297823,407 Gilbert,1
297816,406 Railway Ave to Steveston,1
292217,20 Downtown,0
292215,20 Downtown,0
297764,372 Langley Centre,0
297765,372 Clayton Heights,1
297752,362 White Rock Centre,0
297715,335 Surrey Central Station,1
292591,232 Phibbs Exchange,0
292590,232 Phibbs Exchange,0
296963,4 Downtown,0
296965,4 Powell,0
298110,Expo Line To Waterfront,1
297739,351 Bridgeport Station,0
292193,17 Oak,1
292194,17 Oak,1
297372,151 Como Lake Ave to Coquitlam Central Station,0
298178,R6 Scott Road/To Scott Rd Station,0
293182,SeaBus Northbound To Lonsdale Quay,0
297499,215 Phibbs Exchange,1
297887,503 Fraser Hwy Exp/Aldergrove,0
297500,215 Phibbs Exchange,1
297735,345 152 Street/To White Rock Centre,1
292182,16 Arbutus,1
297734,345 152 Street/To White Rock Centre,1
292187,16 Arbutus,1
292183,16 Arbutus,1
292433,148 Royal Oak Station,1
292786,340 22nd St Station,1
293158,Expo Line To Braid,0
293150,Expo Line To King George,0
298186,338 Guildford,1
292458,159 Coquitlam Central Station,0
292461,159 Braid Station,1
297815,406 Railway Ave to Brighouse Station,0
292043,4 UBC,1
297538,240 Lynn Valley,0
292552,214 Blueridge,0
292677,262 Caulfeild,1
292049,5 Robson,1
297305,119 Kingsway To Edmonds Station,0
297871,430 Metrotown Station,0
298172,R5 Hastings St/To SFU Exchange,0
297455,189 Coquitlam Central Station,1
297212,33 16th & 33RD Avenue/To UBC Exchange,1
292563,222 Willingdon Express/To Metrotown Station,1
292379,123 Brentwood Station,1
293230,R3 Lougheed Hwy To Coquitlam Central Station,1
292663,255 Capilano University - via 15th St & Lonsdale,0
297634,301 Brighouse Station Express,1
298068,Canada Line To YVR-Airport,1
298069,Canada Line To Richmond-Brighouse,1
297660,319 Scott Rd Station,0
297902,531 Willowbrook,0
297741,351 White Rock Centre,1
297991,701 Coquitlam Central Station,1
292450,153 Braid Station,1
297205,28 Joyce Station,1
297336,132 Capitol Hill,0
297176,23 Main St Station,0
292335,100 Marpole via Trapp,1
292336,100 Marpole,1
292334,100 Marpole,1
292333,100 Marpole via Trapp,1
297912,562 Walnut Grove via TWU,0
292824,371 Scott Rd Station,1
292823,371 Surrey Central Station,0
292974,562 Walnut Grove,0
