stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
1,50001.0,Westbound Davie St @ Bidwell St,,49.286458,-123.140424,BUS ZN,,0,,1,8728de8d8ffffff,8828de8d8bfffff,8928de8d8a7ffff,8a28de8d8a57fff
10000,59326.0,Northbound No. 5 Rd @ McNeely Dr,,49.179962,-123.09149,BUS ZN,,0,,1,8728de8f4ffffff,8828de8f41fffff,8928de8f48fffff,8a28de8f48dffff
10001,59324.0,Northbound No. 5 Rd @ Woodhead Rd,,49.18267,-123.091448,BUS ZN,,0,,1,8728de8f4ffffff,8828de8f41fffff,8928de8f417ffff,8a28de8f402ffff
10002,59323.0,Southbound No. 5 Rd @ Cambie Rd,,49.184252,-123.091627,BUS ZN,,0,,1,8728de8f4ffffff,8828de8f41fffff,8928de8f407ffff,8a28de8f4057fff
10003,59325.0,Southbound No. 5 Rd @ Woodhead Rd,,49.182051,-123.091659,BUS ZN,,0,,1,8728de8f4ffffff,8828de8f41fffff,8928de8f417ffff,8a28de8f4157fff
10004,59327.0,Eastbound McNeely Dr @ No. 5 Rd,,49.179586,-123.091105,BUS ZN,,0,,1,8728de8f4ffffff,8828de8f49fffff,8928de8f48fffff,8a28de8f48d7fff
10005,59329.0,Eastbound Jack Bell Dr @ McNeely Dr,,49.179599,-123.087232,BUS ZN,,0,,2,8728de8f4ffffff,8828de8f41fffff,8928de8f4c7ffff,8a28de8f4137fff
10006,59331.0,Eastbound Jack Bell Dr @ 12500 Block,,49.178199,-123.084601,BUS ZN,,0,,2,8728de8f4ffffff,8828de8f4dfffff,8928de8f4d7ffff,8a28de8f4d5ffff
10007,59332.0,Northbound Jack Bell Dr @ Wyne Cres North,,49.180787,-123.082085,BUS ZN,,0,,2,8728de8f4ffffff,8828de8f4dfffff,8928de8f4cfffff,8a28de8f4ceffff
10008,59335.0,Northbound Jacombs Rd @ Vanier Place,,49.183053,-123.080188,BUS ZN,,0,,1,8728de8f4ffffff,8828de8f45fffff,8928de8f457ffff,8a28de8f4577fff
10012,59702.0,Eastbound Lougheed Hwy @ Madison Ave,,49.266312,-123.008094,BUS ZN,,0,,2,8728de125ffffff,8828de1257fffff,8928de12563ffff,8a28de125637fff
10013,59701.0,Westbound Lougheed Hwy @ Madison Ave,,49.266542,-123.009458,BUS ZN,,0,,2,8728de125ffffff,8828de1257fffff,8928de12563ffff,8a28de125607fff
10017,53309.0,Westbound Lougheed Hwy @ Holdom Ave,,49.265095,-122.982086,BUS ZN,,0,,1,8728de120ffffff,8828de120dfffff,8928de120d7ffff,8a28de120d6ffff
10018,53302.0,Eastbound Lougheed Hwy @ Holdom Ave,,49.264649,-122.980395,BUS ZN,,0,,2,8728de120ffffff,8828de120dfffff,8928de120d7ffff,8a28de120d77fff
10021,52835.0,Westbound Lougheed Hwy @ Sperling Ave,,49.25941,-122.962966,BUS ZN,,0,,1,8728de126ffffff,8828de1269fffff,8928de12687ffff,8a28de1268effff
10023,53304.0,Eastbound Lougheed Hwy @ Bainbridge Ave,,49.258523,-122.955209,BUS ZN,,0,,1,8728de126ffffff,8828de1269fffff,8928de1268bffff,8a28de1268b7fff
10028,53308.0,Westbound Lougheed Hwy @ Lake City Way,,49.25443,-122.938606,BUS ZN,,0,,2,8728de89bffffff,8828de89bbfffff,8928de89ba3ffff,8a28de89ba37fff
10029,53305.0,Eastbound Lougheed Hwy @ Lake City Way,,49.254139,-122.937052,BUS ZN,,0,,2,8728de89bffffff,8828de89bbfffff,8928de89bbbffff,8a28de89bb8ffff
10034,58349.0,Westbound Lougheed Hwy @ Production Way,,49.253225,-122.917557,BUS ZN,,0,,1,8728de89bffffff,8828de89bdfffff,8928de89bcbffff,8a28de89bca7fff
10035,59295.0,Westbound River Rd @ 23900 Block,,49.182568,-122.559304,BUS ZN,,0,,2,8728dec22ffffff,8828dec221fffff,8928dec2203ffff,8a28dec22037fff
10036,59311.0,Southbound Turner Creek Dr @ Heritage Mountain Blvd,,49.293537,-122.838479,BUS ZN,,0,,2,8728dec4dffffff,8828dec4d5fffff,8928dec4dcfffff,8a28dec4d52ffff
10037,52553.0,Westbound Government Rd @ Brighton Ave,,49.250879,-122.919712,BUS ZN,,0,,2,8728de89bffffff,8828de89bdfffff,8928de89bd3ffff,8a28de89bd1ffff
10038,52552.0,Eastbound Government Rd @ Brighton Ave,,49.250777,-122.919356,BUS ZN,,0,,1,8728de89bffffff,8828de89bdfffff,8928de89bd3ffff,8a28de89bd1ffff
